Country,Province,City,Job_Title,Low_Salary_Yearly,Median_Salary_Yearly,Max_Salary_Yearly,Currency,Year,Cost_of_Living_Yearly
Canada,AB,Athabasca--Grande Prairie--Peace River,"Nurse aides, orderlies and patient service associates",18000,23000,48000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other assisting occupations in support of health services,15000,21750,33500,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,University professors and lecturers,21540,49450,72120,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Post-secondary teaching and research assistants,15000,20310,43960,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,College and other vocational instructors,20000,40500,57690,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Secondary school teachers,28370,43270,54950,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Elementary school and kindergarten teachers,21150,38460,52200,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Educational counsellors,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Judges,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Lawyers and Quebec notaries,45061000,126397000,277237000,CAD,2016,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Psychologists,30210,47480,55300,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Social workers,21150,32820,48500,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Family, marriage and other related counsellors",19890,35400,49000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Professional occupations in religion,15000,27000,42790,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Probation and parole officers and related occupations,32290,41830,47390,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Employment counsellors,21060,26740,45110,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Natural and applied science policy researchers, consultants and program officers",25930,41250,62740,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Economists and economic policy researchers and analysts,23320,48080,74360,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Business development officers and marketing researchers and consultants,23080,37500,62980,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Social policy researchers, consultants and program officers",22050,42000,52490,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Health policy researchers, consultants and program officers",20000,39730,57210,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Education policy researchers, consultants and program officers",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Recreation, sports and fitness policy researchers, consultants and program officers",20000,30200,50380,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Program officers unique to government,32200,39250,67520,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Other professional occupations in social science, n.e.c.",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Paralegal and related occupations,16830,27690,56490,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Social and community service workers,16250,22000,36260,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Early childhood educators and assistants,15000,16830,25480,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Instructors of persons with disabilities,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other instructors,15000,19870,43000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other religious occupations,15000,17900,26920,CAD,2015-2016,28000
